Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5",1206,4,22u,
"C10, C11, C12, C9",1206,4,0.1u,
"C4, C6, C7, C8",1206,4,10u,
"D1, D2, D3",1206,3,LED,
"D10, D11, D12, D13, D4, D5, D6, D7, D8, D9",DIO_RB051MM_ROM-M,10,D,
"F1, F2, F3",1206,3,Fuse,
J1,Molex_Screw_Term_0397730002,1,Battery Connector,
J10,GND_Bridge,1,GND_Bridge_3,
"J2, J3",Pwr_Rail_Conn_Custom,2,+5V,
"J4, J5",Pwr_Rail_Conn_Custom,2,+3.3V,
"J6, J7",Pwr_Rail_Conn_Custom,2,GND,
J8,GND_Bridge,1,GND_Bridge_1,
J9,GND_Bridge,1,GND_Bridge_2,
L1,IND_SPM6530_TDK,1,3.3u,
L2,IND_SPM6530_TDK,1,2.2u,
"M1, M10, M2, M3, M4, M5, M6, M7, M8, M9",Molex_Screw_Term_0397730002,10,Motor_DC,
"R1, R2, R3, R4, R5, R8, R9",1206,7,10k,
R6,1206,1,33k,
R7,1206,1,56k,
SW1,Molex_Screw_Term_0397730002,1,Emergency Stop,
"U1, U2",TPS565201,2,TPS565201,
