Designator,Mid X,Mid Y,Rotation,Layer
C1,173.3125,-53.5,0.0,top
C10,135.0,-76.25,180.0,top
C11,189.5625,-60.0,0.0,top
C12,140.75,-59.75,0.0,top
C2,124.5,-53.5,0.0,top
C3,173.3125,-57.75,0.0,top
C4,184.0625,-67.5,180.0,top
C5,124.5,-57.75,0.0,top
C6,135.0,-67.75,180.0,top
C7,184.125,-72.0,180.0,top
C8,135.0,-71.75,180.0,top
C9,184.0625,-76.5,180.0,top
D1,167.0,-69.5,270.0,top
D10,103.0473,-70.9369,270.0,top
D11,216.0,-60.54485,90.0,top
D12,216.0,-80.5,90.0,top
D13,103.2813,-80.8984,270.0,top
D2,118.5,-69.7,270.0,top
D3,103.346875,-36.0,90.0,top
D4,103.0473,-50.4224,270.0,top
D5,216.0,-50.17025,90.0,top
D6,216.5,-91.0,90.0,top
D7,103.0473,-60.2965,270.0,top
D8,216.0,-70.71,90.0,top
D9,103.2813,-91.8984,270.0,top
F1,162.5,-63.0,0.0,top
F2,114.502,-62.738,0.0,top
F3,109.346875,-33.8,270.0,top
J1,97.5,-29.0,270.0,top
J10,115.96,-82.751829,0.0,top
J2,163.03,-100.305,270.0,top
J3,171.74,-29.0,270.0,top
J4,163.03,-88.305,270.0,top
J5,171.74,-41.0,270.0,top
J6,163.03,-94.305,270.0,top
J7,171.74,-35.0,270.0,top
J8,167.5,-23.75,0.0,top
J9,209.0,-55.25,0.0,top
L1,173.5,-63.0,0.0,top
L2,124.75,-63.0,0.0,top
M1,94.5473,-50.4224,270.0,top
M10,94.7813,-80.8984,270.0,top
M2,94.5793,-60.2965,270.0,top
M3,94.7813,-91.8984,270.0,top
M4,94.5633,-70.9369,270.0,top
M5,225.0,-50.17025,90.0,top
M6,225.0,-91.0,90.0,top
M7,225.0,-60.43645,90.0,top
M8,225.0729,-70.71,90.0,top
M9,225.0557,-80.1851,90.0,top
R1,171.0,-69.5,270.0,top
R2,122.5,-69.7,270.0,top
R3,103.296875,-29.2,270.0,top
R4,145.5,-62.15,270.0,top
R5,194.0625,-62.25,270.0,top
R6,151.0,-62.15,90.0,top
R7,200.0625,-62.25,90.0,top
R8,197.0625,-67.5,270.0,top
R9,148.5,-67.75,270.0,top
SW1,94.58125,-40.0,270.0,top
U1,185.8625,-63.30375,0.0,top
U2,137.0,-63.25,0.0,top
